# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 26 12:15:36 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
#
loc_rowid,kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass
1,10797460,CONFIRMED,9.488035570,2.95750,6.1580e+02,0.022344,2.26,0.0853,89.66,793.0,93.59,5455.00,0.9270,0.9190
2,10797460,CONFIRMED,54.418382700,4.50700,8.7480e+02,0.027954,2.83,0.2734,89.57,443.0,9.11,5455.00,0.9270,0.9190
3,10811496,CANDIDATE,19.899139950,1.78220,1.0829e+04,0.154046,14.60,0.1419,88.96,638.0,39.30,5853.00,0.8680,0.9610
4,10848459,FALSE POSITIVE,1.736952453,2.40641,8.0792e+03,0.387394,33.46,0.0267,67.09,1395.0,891.96,5805.00,0.7910,0.8360
5,10854555,CONFIRMED,2.525591777,1.65450,6.0330e+02,0.024064,2.75,0.0374,85.41,1406.0,926.16,6031.00,1.0460,1.0950
6,10872983,CONFIRMED,11.094320540,4.59450,1.5175e+03,0.036779,3.90,0.0992,88.11,835.0,114.81,6046.00,0.9720,1.0530
7,10872983,CONFIRMED,4.134435120,3.14020,6.8600e+02,0.026133,2.77,0.0514,83.72,1160.0,427.65,6046.00,0.9720,1.0530
8,10872983,CONFIRMED,2.566588970,2.42900,2.2650e+02,0.014983,1.59,0.0374,82.17,1360.0,807.74,6046.00,0.9720,1.0530
9,6721123,FALSE POSITIVE,7.361789580,5.02200,2.3370e+02,0.183387,39.21,0.0820,60.92,1342.0,767.22,6227.00,1.9580,1.3580
10,10910878,CONFIRMED,16.068646740,3.53470,4.9143e+03,0.062161,5.76,0.1158,89.92,600.0,30.75,5031.00,0.8480,0.8010
